Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-01-04,210.00201416015625,215.12448267035043,207.2237201668687,214.67108011672624,37130100
2021-01-05,210.20458984375,210.80270379708463,208.08228847102743,209.58719281314148,23823000
2021-01-06,204.75411987304688,208.84438415106663,204.45507027458913,204.676943408944,35930700
2021-01-07,210.580810546875,211.59373143430213,206.1625718994566,206.48090458530808,27694500
2021-01-08,211.8638458251953,212.7899487253861,209.36531838225514,210.95704072206647,22956200
2021-01-11,209.80908203125,211.1789312417317,209.07591293274825,210.75446802047415,23031300
2021-01-12,207.3394775390625,209.43285429285,205.7863507861013,208.85403813753175,23249300
2021-01-13,208.6996612548828,209.10482662915626,206.37477008164043,206.46160279890978,20087100
2021-01-14,205.4969482421875,209.78014669114557,205.22683795440696,208.2848838495633,29480800
2021-01-15,205.13998413085938,206.9342964122726,204.54188494369004,205.97926896436093,31746500
2021-01-19,208.79615783691406,209.31708059671112,205.1207150230666,206.20115613666417,30480900
2021-01-20,216.41714477539062,217.81593324197758,209.61612152485435,210.01164538751647,37777300
2021-01-21,217.02491760253906,218.30794883439074,214.56497094658008,216.76444885263814,30709400
2021-01-22,217.9702911376953,221.9447982112566,217.82559446264705,219.06038848941193,30172700
2021-01-25,221.42388916015625,221.66506012946064,216.3014201273162,221.02836523771916,33152100
2021-01-26,224.12496948242188,225.90962552490151,221.95443112163733,223.67156695835445,49169600
2021-01-27,224.6748504638672,231.94857453738325,222.01232848295177,229.59474371719836,69870600
2021-01-28,230.49192810058594,234.070912016204,226.78754528155395,227.28918505493604,49111200
2021-01-29,223.76805114746094,229.6140323700672,223.17959346585073,227.6557255174755,42503100
2021-02-01,231.18646240234375,233.93581706822144,224.22144432069945,226.75856737700522,33314200
2021-02-02,231.05140686035156,233.75252438846982,230.26037381506274,232.77819906978667,25916300
2021-02-03,234.4181671142578,236.43435275542583,230.8102443459254,231.10930869338551,27158100
2021-02-04,233.46311950683594,234.64969117087412,231.88103867469155,234.09017280439656,25296100
2021-02-05,233.6464080810547,234.68826832765416,231.92927213385542,233.67534741680137,18054800
2021-02-08,233.90689086914062,235.074150067436,232.30551216876293,234.56286881199966,22211900
2021-02-09,235.16094970703125,236.11597714944006,232.85535625247002,233.32804184480403,23565000
2021-02-10,234.24453735351562,237.23504842887988,232.38268988590397,236.34754106148685,22186700
2021-02-11,235.8555145263672,236.4921945580624,233.5981435634139,236.13526631242522,15751100
2021-02-12,236.33787536621094,236.63692497119087,234.15768068749534,235.31529823447488,16561100
2021-02-16,235.09339904785156,237.43758793667095,234.34094698968835,236.37643004956684,26728500
2021-02-17,236.1183624267578,236.22472264095413,232.96625524373655,233.33368412074378,21653500
2021-02-18,235.72190856933594,235.85727476251574,232.88888225714146,233.7977758772666,16925600
2021-02-19,232.99525451660156,235.78961124122654,232.23139079471954,235.68325103009647,25262600
2021-02-22,226.7490692138672,230.05588521184748,224.70889742739791,229.56276857529465,36446900
2021-02-23,225.55007934570312,227.05844976056775,221.16031954469048,222.70737444670027,30228700
2021-02-24,226.78773498535156,227.4162177891035,221.42140539723303,222.39797484329023,26339700
2021-02-25,221.41171264648438,226.82637500725085,220.33844686945937,224.39944732848625,39542200
2021-02-26,224.68951416015625,227.58055228301077,221.94349121300567,223.8676385494366,37819200
2021-03-01,229.09861755371094,229.6110763466161,225.43403703032263,228.09302745735494,25324000
2021-03-02,226.13021850585938,229.4467125406438,225.72411990536094,229.16630164142225,22812500
2021-03-03,220.02906799316406,225.84984468324723,219.7389933201918,224.47684030191002,34029500
2021-03-04,219.2265167236328,224.7959027819712,216.8382585569958,219.23619522269576,44727800
2021-03-05,223.93536376953125,225.5500945018356,218.9654691116631,221.9241981632992,41872800
2021-03-08,219.86465454101562,225.64674565461442,219.61326440696627,223.71293453599736,35267400
2021-03-09,226.04318237304688,227.59023718245513,224.00301103562117,225.17297326388478,33080500
2021-03-10,224.7281951904297,229.15662455782697,224.3607663454474,229.15662455782697,29746800
2021-03-11,229.2823486328125,231.2548297284497,226.5556675332269,227.18416507754895,29907600
2021-03-12,227.94796752929688,228.01565799490803,225.51136158201115,226.2655466781556,22653700
2021-03-15,227.0391082763672,227.40653713643047,224.13839139075358,227.18415297293328,26034900
2021-03-16,229.8431396484375,232.11535898562002,228.13171258317612,228.46045695052544,28092200
2021-03-17,229.1953125,230.65534949760786,225.5114042743866,228.33476704770135,29562100
2021-03-18,223.08445739746094,226.43962095239084,222.70736481006173,224.86356013012343,34833000
2021-03-19,222.72669982910156,224.7765348783474,221.75979427699573,223.37452477855553,46430700
2021-03-22,228.18003845214844,229.05991126043418,222.5236352716156,222.64933771014526,30127000
2021-03-23,229.71743774414062,233.07260140794008,229.2243211919434,229.63041977971915,31638400
2021-03-24,227.66758728027344,230.12352088544264,227.53222109343432,229.97849095447495,25620100
2021-03-25,224.65084838867188,229.09862014573517,223.9063416834218,227.51289551782554,34061900
2021-03-26,228.65380859375,228.8762074815736,223.8869715588092,223.8869715588092,25479900
2021-03-29,227.45486450195312,228.96323478348515,224.20606129795812,228.7601781284446,25227500
2021-03-30,224.1770782470703,226.11088952458203,223.45189901800342,225.80147263835175,24792000
2021-03-31,227.96734619140625,231.18714373342434,224.69920041677108,225.20199547913245,43623500
2021-04-01,234.32960510253906,234.80337945877386,230.17190759199005,230.57800622039574,30338000
2021-04-05,240.8271942138672,241.6877396410895,234.66799527040416,234.72600724804468,36910600
2021-04-06,239.6572265625,241.14625471940562,238.70966318992367,239.4155001585095,22931900
2021-04-07,241.6297149658203,242.62562660061505,239.00940892803152,239.6088857071637,22719800
2021-04-08,244.86883544921875,245.72938081582777,243.66020348747534,244.40472490697556,23625200
2021-04-09,247.38282775878906,247.51819396582258,244.08567580070337,244.50143816737415,24326800
2021-04-12,247.44081115722656,249.1425744248552,246.19349469367526,246.28052740899415,27148700
2021-04-13,249.9354248046875,250.6122705431789,248.3303579311484,248.74614977442516,23837500
2021-04-14,247.1313934326172,250.26415806660793,246.71563111541306,248.95885914085616,23070900
2021-04-15,250.9119873046875,251.32774960452076,249.2005751238479,249.39393852702798,25627500
2021-04-16,252.11094665527344,252.3623515436928,249.0748785362177,250.8829872149482,24878600
2021-04-19,250.1771240234375,252.82646520516678,249.28758747207132,251.57914882611817,23209300
2021-04-20,249.71307373046875,251.5888731356024,248.3400546629798,249.28763286491557,19722900
2021-04-21,251.9562225341797,252.0529189858282,248.73644019834435,250.37051285607768,24030400
2021-04-22,248.6591339111328,253.11655470286385,247.17975472336747,251.59850578156508,25606200
2021-04-23,252.50743103027344,252.85553244467692,248.75583199431003,249.3456598465192,21462600
2021-04-26,252.89414978027344,253.7547099344064,251.5598448286297,253.00052474103498,19763300
2021-04-27,253.3003387451172,254.47996511849422,251.51155693606472,252.92323128203194,31014200
2021-04-28,246.135498046875,248.04998184217743,244.5787793719644,247.60518400104692,46903100
2021-04-29,244.15335083007812,247.62455347518554,240.75951716455182,247.00573442282663,40589000
2021-04-30,243.83424377441406,244.70446765473707,241.33964034405656,241.47500653604348,30945100
