Date,Close,High,Low,Open,Volume
2021-01-04,267.67840576171875,273.70997589140853,263.95595980941005,273.49100669571857,15106100
2021-01-05,269.6989440917969,271.1222290051814,266.9518808887901,267.0315226371125,9871600
2021-01-06,262.0748596191406,266.49403483971406,258.79035145155876,260.7710070140246,24354100
2021-01-07,267.4793701171875,270.3359025056691,263.53795440473635,264.65269578810233,15789800
2021-01-08,266.31488037109375,267.6884118776815,261.94545856026525,267.0513994328306,18528300
2021-01-11,255.6351776123047,262.23408159904403,254.6995846575814,259.25811720283696,30412300
2021-01-12,249.9121551513672,258.5016774369471,249.1258676545651,255.42617600130689,26383500
2021-01-13,250.45957946777344,252.7587410418486,248.0310228517457,250.3700052943654,19528900
2021-01-14,244.48773193359375,253.83368397453697,243.4625647536948,252.21132524701002,29739400
2021-01-15,250.18087768554688,252.6691502535575,246.00058280873117,246.73710176904757,24942900
2021-01-19,259.8752136230469,260.9700597144118,251.53451845577186,255.69490322853497,28028500
2021-01-20,266.2253112792969,269.05198571488916,262.3635067882512,267.6684913704016,25199900
2021-01-21,271.5899963378906,272.3165829346263,266.2352283803753,267.996944972937,20838700
2021-01-22,273.21234130859375,277.16371955451825,270.72406861908013,270.7340314296534,21954000
2021-01-25,276.7059020996094,278.78609454501253,270.2363927277571,276.8352971469543,19087000
2021-01-26,280.7268981933594,284.05125706447734,276.5067976495511,276.8352666372918,19373600
2021-01-27,270.8634338378906,282.1203773615264,266.86227180467614,281.20467962212916,35346200
2021-01-28,263.7569274902344,285.44472259889307,263.45834689190224,275.8797857733197,37758800
2021-01-29,257.1181945800781,265.309599667257,253.65453824202993,264.05550044172963,30389500
2021-02-01,260.78094482421875,262.9308161071233,253.71424419858698,258.30260453139135,22914300
2021-02-02,265.8271484375,267.5888650330022,262.0350230912574,262.76160968920584,17320800
2021-02-03,265.3992004394531,267.93725720381155,262.6023839295787,264.3740331462368,14223400
2021-02-04,265.2398986816406,266.9020781577991,262.76158887006744,265.7574788266206,16060000
