Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-01-04,210.00201416015625,215.12448267035043,207.2237201668687,214.67108011672624,37130100
2021-01-05,210.20455932617188,210.80267319267213,208.08225826156576,209.58716238519727,23823000
2021-01-06,204.75413513183594,208.84439971467242,204.45508551109228,204.6769586619817,35930700
2021-01-07,210.58082580566406,211.59374676648795,206.1625868380979,206.48091954701593,27694500
2021-01-08,211.8638458251953,212.7899487253861,209.36531838225514,210.95704072206647,22956200
2021-01-11,209.80911254882812,211.1789619585599,209.07594334368395,210.75449867556247,23031300
2021-01-12,207.33949279785156,209.4328697056975,205.78636593059068,208.85405350778225,23249300
2021-01-13,208.69967651367188,209.10484191756842,206.37478517044826,206.46161789406628,20087100
2021-01-14,205.4969024658203,209.78009996065586,205.22679223820936,208.28483745215738,29480800
2021-01-15,205.1399688720703,206.9342810200184,204.54186972938896,205.9792536431439,31746500
2021-01-19,208.796142578125,209.3170652998531,205.12070003287826,206.2011410675174,30480900
2021-01-20,216.4171600341797,217.81594859939017,209.6161363041279,210.01166019467698,37777300
2021-01-21,217.02490234375,218.30793348539314,214.5649558607472,216.76443361216235,30709400
2021-01-22,217.97032165527344,221.94482928529737,217.8256249599665,219.06041915961237,30172700
2021-01-25,221.4238739013672,221.66504485405198,216.30140522152732,221.02835000618649,33152100
2021-01-26,224.125,225.90965628548417,221.95446134366796,223.67159741419584,49169600
2021-01-27,224.6748504638672,231.94857453738325,222.01232848295177,229.59474371719836,69870600
2021-01-28,230.49188232421875,234.07086552904022,226.787500240888,227.28913991464296,49111200
2021-01-29,223.76808166503906,229.61406368492266,223.17962390317476,227.65575656525624,42503100
2021-02-01,231.1864471435547,233.93580162796925,224.22142952161613,226.7585524104665,33314200
2021-02-02,231.05140686035156,233.75252438846982,230.26037381506274,232.77819906978667,25916300
2021-02-03,234.41819763183594,236.43438353547978,230.8102743938084,231.10933878020202,27158100
2021-02-04,233.463134765625,234.64970650721565,231.88105383007826,234.09018810416885,25296100
2021-02-05,233.64642333984375,234.6882836544842,231.9292872805032,233.6753626774804,18054800
2021-02-08,233.90687561035156,235.0741347325014,232.3054970144389,234.5628535104182,22211900
2021-02-09,235.16098022460938,236.1160077909551,232.855386470844,233.32807212451993,23565000
2021-02-10,234.24452209472656,237.23503297528765,232.38267474839645,236.34752566570722,22186700
2021-02-11,235.85552978515625,236.49220985804178,233.59815867616126,236.13528158931294,15751100
2021-02-12,236.337890625,236.6369402492876,234.1576958055235,235.3153134272428,16561100
2021-02-16,235.09344482421875,237.4376341694884,234.3409926195413,236.37647607576025,26728500
2021-02-17,236.11834716796875,236.2247073752917,232.9662401886476,233.33366904191027,21653500
2021-02-18,235.72189331054688,235.85725949496413,232.88886718174032,233.7977607430308,16925600
2021-02-19,232.99525451660156,235.78961124122654,232.23139079471954,235.68325103009647,25262600
2021-02-22,226.74905395507812,230.05586973053047,224.70888230589964,229.5627531271613,36446900
2021-02-23,225.5500946044922,227.05846512140025,221.16033450650593,222.70738951317625,30228700
2021-02-24,226.7877197265625,227.4162024880287,221.42139049950268,222.39795987985408,26339700
2021-02-25,221.41172790527344,226.8263906391963,220.33846205428335,224.39946279317778,39542200
2021-02-26,224.6895294189453,227.58056773813183,221.9435062853108,223.86765375241166,37819200
2021-03-01,229.09861755371094,229.6110763466161,225.43403703032263,228.09302745735494,25324000
2021-03-02,226.13018798828125,229.44668157548566,225.72408944258817,229.16627071410718,22812500
2021-03-03,220.02903747558594,225.84981335833936,219.73896284284643,224.47680916743502,34029500
2021-03-04,219.2265167236328,224.7959027819712,216.8382585569958,219.23619522269576,44727800
2021-03-05,223.93536376953125,225.5500945018356,218.9654691116631,221.9241981632992,41872800
2021-03-08,219.86465454101562,225.64674565461442,219.61326440696627,223.71293453599736,35267400
2021-03-09,226.043212890625,227.59026790889763,224.0030412777604,225.17300366397794,33080500
2021-03-10,224.7282257080078,229.15665567677576,224.36079681312953,229.15665567677576,29746800
2021-03-11,229.2823486328125,231.2548297284497,226.5556675332269,227.18416507754895,29907600
2021-03-12,227.94801330566406,228.01570378486878,225.51140686906064,226.26559211666006,22653700
2021-03-15,227.0391082763672,227.40653713643047,224.13839139075358,227.18415297293328,26034900
2021-03-16,229.84315490722656,232.11537439525682,228.13172772834727,228.46047211752122,28092200
2021-03-17,229.19528198242188,230.65531878562442,225.51137424732443,228.3347366447057,29562100
2021-03-18,223.08447265625,226.43963644067026,222.70738004305798,224.86357551060163,34833000
2021-03-19,222.7267303466797,224.77656567678991,221.75982466209032,223.37455538489735,46430700
2021-03-22,228.18006896972656,229.05994189568952,222.52366503268703,222.6493674880286,30127000
2021-03-23,229.71743774414062,233.07260140794008,229.2243211919434,229.63041977971915,31638400
2021-03-24,227.66761779785156,230.12355173222502,227.53225159286734,229.97852178181688,25620100
2021-03-25,224.65084838867188,229.09862014573517,223.9063416834218,227.51289551782554,34061900
2021-03-26,228.65382385253906,228.87622275520403,223.8869864994922,223.8869864994922,25479900
2021-03-29,227.45484924316406,228.96321942350718,224.2060462571147,228.76016278208868,25227500
2021-03-30,224.17710876464844,226.11092030541295,223.45192943686178,225.80150337706124,24792000
2021-03-31,227.9673309326172,231.187128259121,224.6991853767324,225.20198040543963,43623500
2021-04-01,234.32955932617188,234.8033335898547,230.17186262783048,230.57796117690464,30338000
2021-04-05,240.8271942138672,241.6877396410895,234.66799527040416,234.72600724804468,36910600
2021-04-06,239.6572265625,241.14625471940562,238.70966318992367,239.4155001585095,22931900
2021-04-07,241.62973022460938,242.62564192229542,239.00942402134964,239.60890083833849,22719800
2021-04-08,244.86883544921875,245.72938081582777,243.66020348747534,244.40472490697556,23625200
2021-04-09,247.3828125,247.518178698684,244.08566074528554,244.50142308631172,24326800
2021-04-12,247.4408416748047,249.14260515231663,246.1935250574183,246.28055778347118,27148700
2021-04-13,249.9353790283203,250.61222464284555,248.33031244875366,248.74610421587698,23837500
2021-04-14,247.1313934326172,250.26415806660793,246.71563111541306,248.95885914085616,23070900
2021-04-15,250.9120330810547,251.32779545673958,249.20062058798516,249.39398402644244,25627500
2021-04-16,252.11094665527344,252.3623515436928,249.0748785362177,250.8829872149482,24878600
2021-04-19,250.17709350585938,252.82643436441174,249.2875570630023,251.57911813751562,23209300
2021-04-20,249.71302795410156,251.58882701537144,248.34000913830877,249.28758716653843,19722900
2021-04-21,251.95626831054688,252.05296477976358,248.73648538972924,250.37055834434713,24030400
2021-04-22,248.65911865234375,253.11653917054838,247.17973955535945,251.59849034240358,25606200
2021-04-23,252.50733947753906,252.8554407657299,248.75574180180948,249.34556944016214,21462600
2021-04-26,252.89414978027344,253.7547099344064,251.5598448286297,253.00052474103498,19763300
2021-04-27,253.30026245117188,254.479888469246,251.5114811808997,252.92315510167123,31014200
2021-04-28,246.135498046875,248.04998184217743,244.5787793719644,247.60518400104692,46903100
2021-04-29,244.1533203125,247.6245225237297,240.75948707118079,247.00570354871914,40589000
2021-04-30,243.83425903320312,244.70448296798347,241.339655446737,241.47502164719492,30945100
