Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2021-01-04,111.6209487915039,113.3856698910516,110.65433820629697,113.06642297903028,16819900
2021-01-05,112.22832489013672,112.80889458006544,110.54913829068515,111.6388214717493,13731200
2021-01-06,117.49808502197266,118.58776806136176,114.22010217650814,116.00647284189485,24909100
2021-01-07,121.35663604736328,123.42882486454546,120.50811585867484,121.19586982648327,21940400
2021-01-08,121.49063873291016,121.78539047514327,119.79358448631444,121.44597690004855,12035100
2021-01-11,123.30377197265625,123.43774381474644,119.78463287908649,120.20442948946919,15937900
2021-01-12,125.24198150634766,126.52816577082953,124.00045906777503,124.54530063456593,18033500
2021-01-13,125.35812377929688,125.75111248824747,123.34846388448085,123.78611442798082,14816800
2021-01-14,126.09050750732422,127.50173677221213,125.04548615138141,125.48315025930675,18565600
2021-01-15,123.83076477050781,126.51923796278591,122.37487359835735,122.75000844177681,27881000
2021-01-19,123.29485321044922,125.67072090829254,123.09836568363275,124.92045120230333,19843800
2021-01-20,121.44596099853516,123.41095872725795,120.97257561571618,123.09835319591348,16028800
2021-01-21,120.427734375,121.61566810676108,119.97221644747744,121.19587146362461,13411700
2021-01-22,119.49883270263672,120.04367435405238,118.07867636872433,118.51634052441163,12933200
2021-01-25,118.00723266601562,118.94507673964662,116.16727944036815,118.02510012682288,14212800
2021-01-26,117.52488708496094,118.94504316852769,117.31051850241529,118.56990837072944,11307800
2021-01-27,114.2022476196289,115.97968465239819,113.74672290532965,115.74744861692439,17603900
2021-01-28,116.21192932128906,118.0518823576299,115.2115696810753,116.02435507431002,13761800
2021-01-29,114.92572784423828,117.64993570651068,114.49700429457971,117.1765503304786,14808100
2021-02-01,115.77424621582031,116.17618901800803,114.75601928328787,115.57774508595654,11080700
2021-02-02,119.33805847167969,120.03473940504058,117.20335384174014,117.84644603082357,12253600
2021-02-03,120.70462036132812,121.2583888649835,119.2487292746358,119.37377421510239,10600800
2021-02-04,123.48241424560547,123.84862214467819,120.99936932070554,120.99936932070554,12419500
2021-02-05,123.2412338256836,124.58994720709237,122.70533286700964,124.50062356620965,10051300
2021-02-08,125.1705551147461,125.31346754013391,123.41991197594281,123.43777943633604,10136400
2021-02-09,124.67034912109375,125.02761648079313,123.74143217967354,124.53636363954938,8614800
2021-02-10,124.7417984008789,125.82254096280317,124.18801630651753,125.04547700266957,10323200
2021-02-11,124.39347839355469,125.53675042350842,123.45563443631264,124.74181887723,9201000
2021-02-12,126.16194915771484,126.4834952016081,124.1522897906008,124.19695161342275,8324600
2021-02-16,129.19876098632812,129.7972048740578,127.18910163973135,128.21626903865007,12130600
2021-02-17,129.60072326660156,129.8508131548456,127.83221296260562,128.57355571307076,10810100
2021-02-18,130.03836059570312,130.21699426510168,128.08228988793198,128.61820452500297,10587800
2021-02-19,132.2088165283203,132.9412187537217,130.27953994663164,130.27953994663164,11969800
